Structure [idcode]	MolRegNo	m	Value	Unit	Type	pValue	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Category	Assay Organism	Target ID	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	
ebQZLD@G@bm`QID`HcRHrJJIJQYKZIIFIKJIKJL\FVYESK_@pDEUUUK@AUUTTREBLP@ !BM?pAPC^}upIH@c^BustZ{y`lM?pwoXC~fEM~@@b}fJrgkDa|Y^@ZxH`}rGs~_tb}BKv~_tb}_k}H_@b}RCuH_Db}RGr~op	259959		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fjuaS@JDeiNPQBHbHPdw[L}km^CTuUP@Rpadx`@ !B]Trsu^rJUTrTWiPbZBiU}DpjJkM??nPA]WLjL|hsUSLj\sMUCBkJlp	698632		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fjuaS@JDeiNPQBHbHPdw[L}km^CTuUP@Rpadx`@ !B]Trsu^rJUTrTWiPbZBiU}DpjJkM??nPA]WLjL|hsUSLj\sMUCBkJlp	698632		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fi{qb@BTeCOPAFRSQIJIIQIIiI\DyHXmMT@A@UU@@@@ !B@PAw?\c}LS~OL`c|wqdkNwx@R@M}M{~~bHHH?@E?_w{}Mxc}R@NH?H`CbOqH@pc|	222203		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fi{qb@BTeCOPAFRSQIJIIQIIiI\DyHXmMT@A@UU@@@@ !B@PAw?\c}LS~OL`c|wqdkNwx@R@M}M{~~bHHH?@E?_w{}Mxc}R@NH?H`CbOqH@pc|	222203		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
gkrDah@@DAaIR@JB`IEbEZbty]dTRbbtTVbRTRffbRTvbLLRfvbTTqRTu`IDRMMgrdbIUfsTtsTaMAUEUTuUUUSUUSUETcIIbaHdfTMKtjt[S@P[DF` !BL}TAzsOJSCU~yCOUSLk~FtsJ_nQLMXN]sMULMTsJ?noZBtfkSLhAyDpuSMWk?lhsSCU~y@GkSLjvj}TsuSO~ztsJ_Ew]`qRQrcL@d?{dcEU~z}TsSLhAz|qJz?yLMSOUn^SUL}ULSLhAzqhlsCTsuVS~?nmLrlkS	397074		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
gkrDah@@DAaIR@JB`IEbEZbty]dTRbbtTVbRTRffbRTvbLLRfvbTTqRTu`IDRMMgrdbIUfsTtsTaMAUEUTuUUUSUUSUETcIIbaHdfTMKtjt[S@P[DF` !BL}TAzsOJSCU~yCOUSLk~FtsJ_nQLMXN]sMULMTsJ?noZBtfkSLhAyDpuSMWk?lhsSCU~y@GkSLjvj}TsuSO~ztsJ_Ew]`qRQrcL@d?{dcEU~z}TsSLhAz|qJz?yLMSOUn^SUL}ULSLhAzqhlsCTsuVS~?nmLrlkS	397074		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fbuQ`@DX@[rSJ{JvjyJZluU@DUUP@@ !B@ek~k@Je@O{|f`KZ@bW|VozS?BW|I_qZ?iO~kOpe?Ek|Vozl?Eh	21021		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fbuQ`@DX@[rSJ{JvjyJZluU@DUUP@@ !B@ek~k@Je@O{|f`KZ@bW|VozS?BW|I_qZ?iO~kOpe?Ek|Vozl?Eh	21021		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
eaU^C@@@ed\RV^PLFAMCNackgh\bTfbbQbRbbbRbbUbUTqg@dQVwsUUUUUUUUUTuSUWbBHeDxbblcd|TTRVTJdtvgt@@ !BQwK[ORS}nuwYJBFwj~pwggKP~BwWfXPbWk^]nsaMNuwxk]JG]wxa]~Rbog|^M?aqg[oMnIv{JLwDpuJGmw{BUB^~g[neVEC~Cwy]~{TT	334866		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
